name,slug,category,occasions,size_class,material,est_grams,est_print_hours,is_customizable,customization_fields,short_description,long_description,bullet_points,use_case,target_audience,stock_status,sku,tags,images,designer,source_url,license,commercial_ok
Kumiko Design Desk Organizer,kumiko-design-desk-organizer,desk,corporate|housewarming,,PLA+,,,false,,A Kumiko-inspired modular desk organiser with inserts for pens and stationery.,A Kumiko-inspired modular desk organiser with inserts for pens and stationery.,,,,Made to Order,TRK-M001,"desk,3d printed",triakar/kumiko-design-desk-organizer-1|triakar/kumiko-design-desk-organizer-2,KL Worx,https://makerworld.com/en/models/1275973-kumiko-design-desk-organizer,unknown,false
Modular Desk Organiser,modular-desk-organiser,desk,corporate,,PLA+,,,true,"[{""label"":""Personalisation (name / text)"",""type"":""text"",""required"":false}]",A modern modular organiser with removable bins and optional magnets.,A modern modular organiser with removable bins and optional magnets.,,,,Made to Order,TRK-M002,"desk,3d printed",triakar/modular-desk-organiser-1|triakar/modular-desk-organiser-2,patricksnitjer01,https://makerworld.com/en/models/1397248-modular-desk-organiser,unknown,false
Stepped Desk Organizer,stepped-desk-organizer,desk,corporate|housewarming,,PLA+,,,false,,A tiered organiser with round inserts in varied heights that double as small pots.,A tiered organiser with round inserts in varied heights that double as small pots.,,,,Made to Order,TRK-M003,"desk,3d printed",triakar/stepped-desk-organizer-1|triakar/stepped-desk-organizer-2,HpInvent,https://makerworld.com/en/models/710122-stepped-desk-organizer,unknown,false
Simple Desk Organizer,simple-desk-organizer,desk,corporate,,PLA+,,,false,,An easy-print organiser for tools and office supplies.,An easy-print organiser for tools and office supplies.,,,,Made to Order,TRK-M004,"desk,3d printed",triakar/simple-desk-organizer-1|triakar/simple-desk-organizer-2,3D Print Masters Hub,https://makerworld.com/en/models/120659-simple-desk-organizer,unknown,false
Configurable Desk Organizer,configurable-desk-organizer,desk,corporate,,PLA+,,,true,"[{""label"":""Personalisation (name / text)"",""type"":""text"",""required"":false}]","A no-supports organiser you configure for notebooks, tools, pens and cards.","A no-supports organiser you configure for notebooks, tools, pens and cards.",,,,Made to Order,TRK-M005,"desk,3d printed",triakar/configurable-desk-organizer-1|triakar/configurable-desk-organizer-2,Carmelart_,https://makerworld.com/en/models/636301-desk-organizer-make-your-own-configuration,unknown,false
Poly-Desk Organizer,poly-desk-organizer,desk,corporate,,PLA+,,,false,,"A compact, clean-geometry modular desk accessory.","A compact, clean-geometry modular desk accessory.",,,,Made to Order,TRK-M006,"desk,3d printed",triakar/poly-desk-organizer-1|triakar/poly-desk-organizer-2,3D Paint Lab,https://makerworld.com/en/models/1820511-poly-desk-organizer,unknown,false
Organizer with Gadget,organizer-with-gadget,desk,corporate|birthday,,PLA+,,,false,,A timeless desk organiser with a central gadget space and card/USB holders.,A timeless desk organiser with a central gadget space and card/USB holders.,,,,Made to Order,TRK-M007,"desk,3d printed",triakar/organizer-with-gadget-1|triakar/organizer-with-gadget-2,The Big Greek,https://makerworld.com/en/models/140497-organizer-with-gadget,unknown,false
Modern Headphone Holder,modern-headphone-holder,desk,corporate|last-minute,,PLA+,,,false,,"An adjustable, no-supports headphone holder with a rotatable scratch-free cap.","An adjustable, no-supports headphone holder with a rotatable scratch-free cap.",,,,Made to Order,TRK-M008,"desk,3d printed",triakar/modern-headphone-holder-1|triakar/modern-headphone-holder-2,ngprint,https://makerworld.com/en/models/231863-headphone-holder-modern-design,unknown,false
Headphone Holder with Cable Hook,headphone-holder-with-cable-hook,desk,corporate|last-minute,,PLA+,,,false,,A dual-hook headset mount with a reverse cable hook; clamps to desks up to 30mm.,A dual-hook headset mount with a reverse cable hook; clamps to desks up to 30mm.,,,,Made to Order,TRK-M009,"desk,3d printed",triakar/headphone-holder-with-cable-hook-1|triakar/headphone-holder-with-cable-hook-2,thinksolid,https://makerworld.com/en/models/2418420-headphone-holder-with-cable-hook-headset-holder,unknown,false
Under-Desk Headphone Hanger,under-desk-headphone-hanger,desk,last-minute,,PLA+,,,false,,An under-desk headphone hanger for the Underware cable-management system.,An under-desk headphone hanger for the Underware cable-management system.,,,,Made to Order,TRK-M010,"desk,3d printed",triakar/under-desk-headphone-hanger-1|triakar/under-desk-headphone-hanger-2,M3 Makes,https://makerworld.com/en/models/824494-headphone-hanger-underware,unknown,false
