name,slug,category,occasions,size_class,material,est_grams,est_print_hours,is_customizable,customization_fields,short_description,long_description,bullet_points,use_case,target_audience,stock_status,sku,tags,images,designer,source_url,license,commercial_ok
Dad Cap Keepsake Box,dad-cap-keepsake-box,gifting,birthday|anniversary,,PLA+,,,false,,"A trucker-cap-shaped keepsake box for keys, watches and small treasures.","A trucker-cap-shaped keepsake box for keys, watches and small treasures.",,,,Made to Order,TRK-M046,"gifting,3d printed",triakar/dad-cap-keepsake-box-1|triakar/dad-cap-keepsake-box-2,CAD&Chaos,https://makerworld.com/en/models/2878918-flat-bill-cap-storage-box-collection-no-ams,unknown,false
Twelve-in-One Fidget Set,twelve-in-one-fidget-set,gifting,birthday|last-minute,,PLA+,,,false,,A twelve-in-one fidget toy set in a single print.,A twelve-in-one fidget toy set in a single print.,,,,Made to Order,TRK-M047,"gifting,3d printed",triakar/twelve-in-one-fidget-set-1|triakar/twelve-in-one-fidget-set-2,YEZAO,https://makerworld.com/en/models/881223-version-2-0-twelve-in-one-fidget-toy-set,unknown,false
Fidget Toy Phone,fidget-toy-phone,gifting,birthday|last-minute,,PLA+,,,false,,A playful fidget toy styled as a phone.,A playful fidget toy styled as a phone.,,,,Made to Order,TRK-M048,"gifting,3d printed",triakar/fidget-toy-phone-1|triakar/fidget-toy-phone-2,Milo,https://makerworld.com/en/models/619089-fidget-toy-phone,unknown,false
EDC Phone Stand + Fidget,edc-phone-stand-fidget,gifting,birthday|last-minute,,PLA+,,,false,,A mecha-style phone stand and EDC fidget with a tactile click knob.,A mecha-style phone stand and EDC fidget with a tactile click knob.,,,,Made to Order,TRK-M049,"gifting,3d printed",triakar/edc-phone-stand-fidget-1|triakar/edc-phone-stand-fidget-2,Joywent,https://makerworld.com/en/models/912144-phone-stand-edc-fidget-toy-energy-core,unknown,false
Pinky Buddy Phone Grip & Fidget,pinky-buddy-phone-grip-fidget,gifting,birthday|last-minute,,PLA+,,,false,,An ergonomic phone grip with free-moving gyro rings that double as a fidget.,An ergonomic phone grip with free-moving gyro rings that double as a fidget.,,,,Made to Order,TRK-M050,"gifting,3d printed",triakar/pinky-buddy-phone-grip-fidget-1|triakar/pinky-buddy-phone-grip-fidget-2,G3D Printlab,https://makerworld.com/en/models/1763502-pinky-buddy-ergonomic-phone-grip-fidget,unknown,false
Photo Frame Ornament,photo-frame-ornament,gifting,anniversary|birthday,,PLA+,,,true,"[{""label"":""Personalisation (name / text)"",""type"":""text"",""required"":false}]",A wallet-photo frame ornament; parametric and resizable.,A wallet-photo frame ornament; parametric and resizable.,,,,Made to Order,TRK-M051,"gifting,3d printed",triakar/photo-frame-ornament-1|triakar/photo-frame-ornament-2,chemistbyday,https://makerworld.com/en/models/120466-photo-frame-ornament-wallet-parametric,unknown,false
Instax Mini Frame & Ornament,instax-mini-frame-ornament,gifting,birthday|anniversary,,PLA+,,,false,,A frame for Instax Mini photos; stands on a table or hangs as an ornament.,A frame for Instax Mini photos; stands on a table or hangs as an ornament.,,,,Made to Order,TRK-M052,"gifting,3d printed",triakar/instax-mini-frame-ornament-1|triakar/instax-mini-frame-ornament-2,JamesD,https://makerworld.com/en/models/841698-instax-mini-frame-and-ornament,unknown,false
Christmas Tea-Light Ornament,christmas-tea-light-ornament,gifting,anniversary|housewarming,,PLA+,,,false,,An openwork tea-light ornament that casts elegant patterns.,An openwork tea-light ornament that casts elegant patterns.,,,,Made to Order,TRK-M053,"gifting,3d printed",triakar/christmas-tea-light-ornament-1|triakar/christmas-tea-light-ornament-2,Maxx Design,https://makerworld.com/en/models/2080596-designer-christmas-tea-light-ornament,unknown,false
Custom Name Desk Organizer,custom-name-desk-organizer,custom,birthday|corporate,,PLA+,,,true,"[{""label"":""Personalisation (name / text)"",""type"":""text"",""required"":false}]",Turn any name or word into a functional 3D-letter desk organiser.,Turn any name or word into a functional 3D-letter desk organiser.,,,,Made to Order,TRK-M054,"custom,3d printed",triakar/custom-name-desk-organizer-1|triakar/custom-name-desk-organizer-2,Voy_Zoro,https://makerworld.com/en/models/2812978-custom-name-desk-organizer-the-perfect-3d-gift,unknown,false
Customizable Name Keychain,customizable-name-keychain,custom,birthday|last-minute,,PLA+,,,true,"[{""label"":""Personalisation (name / text)"",""type"":""text"",""required"":false}]",Add any name or text in fun fonts via the parametric maker.,Add any name or text in fun fonts via the parametric maker.,,,,Made to Order,TRK-M055,"custom,3d printed",triakar/customizable-name-keychain-1|triakar/customizable-name-keychain-2,Mia Germansen,https://makerworld.com/en/models/1934276-customizable-name-keychain,unknown,false
