=== SHEET: Filament Inventory dims: A1:S242 ===
S No.	Vendor	Brand	F.Type	Finish	Color	Size	Qty	Position	Box Name	Status	Price (₹)	Name	Undefined					
1	WOL3D	WOL3D	PLA PRO+	Normal	Ivory	1	0.05	Box	most using	Opened	850	Shru						
2	Elegoo	Elegoo	PLA	Normal	Brown	1	0	Box	most using	Finsh	2000	3dbzr						
3	Elegoo	Elegoo	PLA	Normal	Red	1	0	Box	most using	Finsh	900	3dbzr			Color	Company	Qty	What Not
4	WOL3D	WOL3D	PLA	Transparent	Transparent	1	0.7	Box	shiny	Opened	600	Shru			Wooden Brown	ANY	1	
5	WOL3D	WOL3D	PLA	Normal	Forest Green	1	0.75	Box	shiny	Opened	600	Shru			Magenta	WOL3D	1	
6	Other	Nfil 3D	PLA+	Normal	Orange	1	0.15	Box	shiny	Opened	670	Amz			Dark Skin	WOL3D	1	
7	Other	Haiteng	PETG	Marble	Marble	1	0	Box	PETG	Opened	1000	Amz			Silver		1	
8	ESUN	ESUN	PETG	Normal	Black	1	0.75	Box	PETG	Opened	1250	3dbzr			Lavender	WOL3D	1	
9	ESUN	ESUN	PETG	Normal	White	1	0.55	Box	PETG	Opened	1250	3dbzr			Matte Grey		1	
10	WOL3D	WOL3D	PLA	Normal	Lime Green	1	0	Box	Ending	Opened	600	Shru			BLACK	WOL3D	3	
11	WOL3D	WOL3D	PLA	Normal	Yellow	1	0	Box	Ending	Finsh	600	Shru			Red	WOL3D	1	
12	WOL3D	WOL3D	PLA	Normal	Natural White	1	0	Box	Ending	Finsh	600	Shru			BROWN	ELEGOO	1	
13	Other	Haiteng	PLA	Silk	Golden Silk	1	0.1	Box	shiny	Opened	1300	Amz			DAISY WHITE	WOL3D	3	
14	WOL3D	WOL3D	PLA	Normal	Baby Pink	1	0.02	Box	shiny	Finsh	600	Shru			GREEN	WOL3D	1	NOT FOREST 
15	Elegoo	Elegoo	PLA	Silk	Blue Purple	1	0.25	Box	shiny	Opened	1450	Amz			Red	ELEGOO	1	
16	Elegoo	Elegoo	PLA	Matte	Light Blue	1	0.35	Box	MATT	Opened	1200	Amz			PINK	WOL3D	1	NOT BABY PINK
17	Other	Polymaker	PLA	Matte	Rainbow	1	0.5	Box	MATT	Opened	1800	Amz			MARBEL	WOL3D	1	
18	WOL3D	Bramma Lab	TPU	Soft	White	1	0.85	Box	TPU	Opened	1200	Shru						
19	3IDEA	3IDEA	PLA	Normal	Black	1	0	Box	MATT	Opened	730	Amz						
20	WOL3D	WOL3D	PLA	Normal	Candy Red	1	0	Box	shiny	Opened	600	Shru						
21	WOL3D	WOL3D	PLA	Normal	White	1	0	Box	MATT	Finsh	725	Shru						
22	WOL3D	WOL3D	PLA	Normal	Gray	1	0.6	Box	shiny	Opened	600	Shru			BLACK	3		
23	Other	Haiteng	PLA	Silk	Golden Silk	1	1	NB	shiny	Packed	1300	Amz			WHITE	3		
24	WOL3D	WOL3D	PLA	Normal	Dark Blue	1	0.95	NB	shiny	Packed	600	Shru			ORANGE	1		
25	WOL3D	Bramma Lab	PLA	Normal	Yellow	1	1	NB	MATT	Packed	1200	Shru			SKYE BLUE	1		
26	Elegoo	Elegoo	PLA	Matte	Black	1	0.7	OUT	MATT	Opened	1200	Amz						
27	Elegoo	Elegoo	PLA	Matte	Yellow	1	0.5	NB	MATT	Opened	1200	Amz						
28	WOL3D	WOL3D	PLA PRO+	Normal	Blue	1	0.2	Box	MATT	Opened	600	Shru						
29	WOL3D	WOL3D	PLA	Normal	Daisy	1	0		MATT	Finsh	600	Shru						
30	WOL3D	WOL3D	PLA	Normal	Daisy	1	0.9		MATT	TBR	600	Shru						
31	WOL3D	WOL3D	PLA	Normal	Midnight Black	1	0		MATT	Finsh	600	Shru						
32	WOL3D	WOL3D	PLA	Normal	Natural White	1	1	LU	shiny	Packed	600	Shru						
33	WOL3D	WOL3D	PLA	Normal	Green	1	1	LU	MATT	Packed	600	Shru						
34	Amazon	Numakers	PLA+	Matte	RUST COPPER	1	0		MATT	Packed	950	Amz	RETURNED					
35	Amazon	Elegoo	PLA+	Matte	Grey Matte	1	0		MATT	Packed	1080	Amz	RETURNED					
36	Numakers	Numakers	PLA Pro	Normal	Pitch Black	1	0.7	OUT		Opened	607	Akans						
37	Numakers	Numakers	PLA Pro	Normal	Pure White	1	1	Seal		Packed	607	Akans						
38	Numakers	Numakers	PLA Pro	Normal	Apricot skin	1	0.6	OUT		Opened	607	Akans						
39	Numakers	Numakers	PLA Pro	Normal	Beige Brown	1	0.3	OUT		Opened	607	Akans						
40	Numakers	Numakers	PLA Pro	Normal	Atomic Pink	1	0.75	OUT		Opened	607	Akans						
41	Numakers	Numakers	PLA Pro	Normal	Grass Green	1	1	Seal		Packed	607	Akans						
42	Numakers	Numakers	PLA Pro	Normal	Magenta	1	1	Seal		Packed	607	Akans						
