order_id,sku,product_name,selling_price,status,order_date
OD437959880775564100,TAF/FIG/BAT/BLK/047,TRIAKAR Decorative Showpiece - 14 cm TAK-FG-BAT-BK-S1,0.00,cancelled,2026-06-29
OD337927336735251100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,0.00,cancelled,2026-06-26
OD337733700042254100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,806.00,returned,2026-06-24
OD437772070413654100,TAF/FIG/BAT/BLK/051,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S2,882.00,returned,2026-06-24
OD337798005438842100,TAF/FIG/BAT/BLK/047,TRIAKAR Decorative Showpiece - 14 cm TAK-FG-BAT-BK-S1,909.00,returned,2026-06-24
OD437772070413654100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,823.00,returned,2026-06-24
OD337774552931770100,,NEEDS REVIEW — unknown SKU (FSN SHIHMQKXVTN2EBGE, not in catalog). Source: Seller Dashboard PDF, showed "Returned" ₹883.,883.00,pending,2026-06-24
OD437838628180186100,TAF/FIG/BAT/BLK/051,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S2,909.00,returned,2026-06-22
OD337797622925975100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,0.00,cancelled,2026-06-18
OD437710439803558100,TAF/FIG/BAT/BLK/051,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S2,844.00,returned,2026-06-18
OD437623272226686100,TAF/FIG/BAT/BLK/051,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S2,1184.00,returned,2026-05-26
OD437516737779553100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,0.00,cancelled,2026-05-09
OD437512321272351100,TAF/FIG/BAT/BLK/023,TRIAKAR Decorative Showpiece - 13 cm TAK-FG-BAT-BK-S1,873.00,returned,2026-05-09
